model,channel,edge_row,C,P,S,anchor_family,other_training_family_count,baseline_predicted_P,baseline_rank_true_P,baseline_top1_correct,baseline_top5_correct,baseline_top10_correct,candidate_anchor_count,offset_predicted_P,offset_rank_true_P,true_P_offset_top1,true_P_offset_top5,true_P_offset_top10,rank_change,top1_rescued,top1_lost,true_anchor_rank,baseline_cosine,adjusted_cosine,residual_improvement_over_raw_cosine
bge_m3_1024d,zh_char,1983,珪,圭,王,ROOT-572D,79,閏,2,0,1,1,1171,戌,3,0,1,1,-1,0,0,3,0.56866413,0.5543983578681946,-0.0142657756805419
bge_m3_1024d,zh_char,1984,畦,圭,田,ROOT-572D,12,箸,1135,0,0,0,1171,箸,1020,0,0,0,115,0,0,1020,0.31271762,0.245615467429161,-0.0671021491289138
bge_m3_1024d,zh_char,1985,眭,圭,目,ROOT-572D,59,雩,754,0,0,0,1171,忝,948,0,0,0,-194,0,0,948,0.447042,0.4479180872440338,0.000876098871231
bge_m3_1024d,zh_char,1986,窐,圭,穴,ROOT-572D,28,雩,754,0,0,0,1171,忝,872,0,0,0,-118,0,0,872,0.447042,0.4767751395702362,0.0297331511974334
bge_m3_1024d,zh_char,1988,絓,圭,糸,ROOT-572D,170,忝,754,0,0,0,1171,忝,889,0,0,0,-135,0,0,889,0.447042,0.479401171207428,0.0323591828346252
bge_m3_1024d,zh_char,1989,茥,圭,艹,ROOT-572D,292,忝,754,0,0,0,1171,忝,948,0,0,0,-194,0,0,948,0.447042,0.4846496880054474,0.0376076996326446
bge_m3_1024d,zh_char,1990,蛙,圭,虫,ROOT-572D,139,泥,579,0,0,0,1171,泥,664,0,0,0,-85,0,0,664,0.41499162,0.3796353936195373,-0.0353562235832214
bge_m3_1024d,zh_char,1991,街,圭,行,ROOT-572D,6,牆,1100,0,0,0,1171,某,1150,0,0,0,-50,0,0,1150,0.32002282,0.2567246556282043,-0.0632981657981872
bge_m3_1024d,zh_char,1992,觟,圭,角,ROOT-572D,13,忝,754,0,0,0,1171,忝,1013,0,0,0,-259,0,0,1013,0.447042,0.5030595660209656,0.0560175776481628
bge_m3_1024d,zh_char,1993,詿,圭,言,ROOT-572D,155,忝,754,0,0,0,1171,忝,764,0,0,0,-10,0,0,764,0.447042,0.489527940750122,0.0424859523773193
bge_m3_1024d,zh_char,1994,邽,圭,阝,ROOT-572D,125,雩,754,0,0,0,1171,忝,992,0,0,0,-238,0,0,992,0.447042,0.4961981773376465,0.0491561889648437
bge_m3_1024d,zh_char,1995,閨,圭,門,ROOT-572D,34,宅,974,0,0,0,1171,宅,904,0,0,0,70,0,0,904,0.35840407,0.3041549921035766,-0.0542490780353546
bge_m3_1024d,zh_char,1996,鞋,圭,革,ROOT-572D,32,足,1138,0,0,0,1171,足,1019,0,0,0,119,0,0,1019,0.32155505,0.269397884607315,-0.0521571636199951
bge_m3_1024d,zh_char,2002,僥,堯,亻,ROOT-582F,183,貪,548,0,0,0,1171,貪,387,0,0,0,161,0,0,387,0.44073045,0.4355542063713074,-0.0051762461662292
bge_m3_1024d,zh_char,2003,嘵,堯,口,ROOT-582F,156,忝,1015,0,0,0,1171,忝,975,0,0,0,40,0,0,975,0.39641225,0.4141023159027099,0.0176900625228881
bge_m3_1024d,zh_char,2004,嬈,堯,女,ROOT-582F,115,貍,60,0,0,0,1171,貍,46,0,0,0,14,0,0,46,0.5116472,0.534766674041748,0.0231194496154785
bge_m3_1024d,zh_char,2005,嶢,堯,山,ROOT-582F,53,忝,1015,0,0,0,1171,忝,1042,0,0,0,-27,0,0,1042,0.39641225,0.4163156151771545,0.0199033617973327
bge_m3_1024d,zh_char,2006,撓,堯,扌,ROOT-582F,202,削,293,0,0,0,1171,煩,169,0,0,0,124,0,0,169,0.47744328,0.5097981691360474,0.0323548913002014
bge_m3_1024d,zh_char,2007,曉,堯,日,ROOT-582F,63,贔,58,0,0,0,1171,贔,66,0,0,0,-8,0,0,66,0.4806906,0.4589092135429382,-0.0217813849449157
bge_m3_1024d,zh_char,2008,橈,堯,木,ROOT-582F,256,瓠,1015,0,0,0,1171,忝,969,0,0,0,46,0,0,969,0.39641225,0.4647504985332489,0.0683382451534271
bge_m3_1024d,zh_char,2009,澆,堯,氵,ROOT-582F,307,舀,683,0,0,0,1171,舀,562,0,0,0,121,0,0,562,0.43499708,0.4312896728515625,-0.0037074089050292
bge_m3_1024d,zh_char,2010,燒,堯,火,ROOT-582F,62,火,545,0,0,0,1171,火,438,0,0,0,107,0,0,438,0.45141762,0.4479812681674957,-0.0034363567829132
bge_m3_1024d,zh_char,2011,獟,堯,犭,ROOT-582F,44,瓠,1015,0,0,0,1171,忝,1069,0,0,0,-54,0,0,1069,0.39641225,0.4100278615951538,0.013615608215332
bge_m3_1024d,zh_char,2012,磽,堯,石,ROOT-582F,57,瓠,1015,0,0,0,1171,忝,1058,0,0,0,-43,0,0,1058,0.39641225,0.4237099289894104,0.0272976756095886
bge_m3_1024d,zh_char,2013,繞,堯,糸,ROOT-582F,170,旋,822,0,0,0,1171,旋,714,0,0,0,108,0,0,714,0.40586394,0.378242552280426,-0.0276213884353637
bge_m3_1024d,zh_char,2014,翹,堯,羽,ROOT-582F,22,折,778,0,0,0,1171,折,622,0,0,0,156,0,0,622,0.42403185,0.4091218113899231,-0.0149100422859191
bge_m3_1024d,zh_char,2015,膮,堯,肉,ROOT-582F,108,雩,1015,0,0,0,1171,忝,959,0,0,0,56,0,0,959,0.39641225,0.426326036453247,0.0299137830734252
bge_m3_1024d,zh_char,2016,蕘,堯,艹,ROOT-582F,292,雩,1015,0,0,0,1171,雩,1012,0,0,0,3,0,0,1012,0.39641225,0.4672839045524597,0.0708716511726379
bge_m3_1024d,zh_char,2017,蟯,堯,虫,ROOT-582F,139,雩,1015,0,0,0,1171,雩,991,0,0,0,24,0,0,991,0.39641225,0.4610456228256225,0.0646333694458007
bge_m3_1024d,zh_char,2018,譊,堯,言,ROOT-582F,155,雩,1015,0,0,0,1171,雩,1060,0,0,0,-45,0,0,1060,0.39641225,0.4299264550209045,0.0335142016410827
bge_m3_1024d,zh_char,2019,趬,堯,走,ROOT-582F,19,雩,1015,0,0,0,1171,忝,976,0,0,0,39,0,0,976,0.39641225,0.4667246043682098,0.070312350988388
bge_m3_1024d,zh_char,2020,遶,堯,辶,ROOT-582F,69,顛,102,0,0,0,1171,顛,77,0,0,0,25,0,0,77,0.50356734,0.5118319988250732,0.0082646608352661
bge_m3_1024d,zh_char,2021,鐃,堯,釒,ROOT-582F,141,忝,1015,0,0,0,1171,忝,1103,0,0,0,-88,0,0,1103,0.39641225,0.4064780175685882,0.0100657641887664
bge_m3_1024d,zh_char,2022,顤,堯,頁,ROOT-582F,45,忝,1015,0,0,0,1171,忝,1096,0,0,0,-81,0,0,1096,0.39641225,0.3918347060680389,-0.0045775473117828
bge_m3_1024d,zh_char,2023,饒,堯,飠,ROOT-582F,38,贛,190,0,0,0,1171,昌,167,0,0,0,23,0,0,167,0.46078736,0.4174974858760834,-0.0432898700237274
bge_m3_1024d,zh_char,2024,驍,堯,馬,ROOT-582F,65,技,26,0,0,0,1171,技,27,0,0,0,-1,0,0,27,0.50162053,0.4547497928142547,-0.0468707382678985
bge_m3_1024d,zh_char,2641,佁,台,亻,ROOT-382F,183,瓠,555,0,0,0,1171,忝,583,0,0,0,-28,0,0,583,0.47270232,0.5125823616981506,0.0398800373077392
bge_m3_1024d,zh_char,2642,冶,台,冫,ROOT-382F,12,爻,1153,0,0,0,1171,爻,1135,0,0,0,18,0,0,1135,0.24611531,0.2244690954685211,-0.0216462165117263
bge_m3_1024d,zh_char,2643,始,台,女,ROOT-382F,115,幵,1058,0,0,0,1171,先,1042,0,0,0,16,0,0,1042,0.34165668,0.3209031224250793,-0.0207535624504089
bge_m3_1024d,zh_char,2644,怠,台,心,ROOT-382F,59,昏,970,0,0,0,1171,乏,824,0,0,0,146,0,0,824,0.37656164,0.3674193620681762,-0.0091422796249389
bge_m3_1024d,zh_char,2645,怡,台,忄,ROOT-382F,132,宜,1050,0,0,0,1171,宜,891,0,0,0,159,0,0,891,0.29992723,0.277322769165039,-0.0226044654846191
bge_m3_1024d,zh_char,2646,枲,台,木,ROOT-382F,256,雩,555,0,0,0,1171,雩,679,0,0,0,-124,0,0,679,0.47270232,0.5176055431365967,0.0449032187461853
bge_m3_1024d,zh_char,2647,殆,台,歹,ROOT-382F,17,厭,790,0,0,0,1171,厭,728,0,0,0,62,0,0,728,0.38686988,0.3392175734043121,-0.0476523041725158
bge_m3_1024d,zh_char,2648,治,台,氵,ROOT-382F,307,愈,793,0,0,0,1171,效,680,0,0,0,113,0,0,680,0.37510347,0.351975530385971,-0.023127943277359
bge_m3_1024d,zh_char,2649,炱,台,火,ROOT-382F,62,忝,555,0,0,0,1171,忝,625,0,0,0,-70,0,0,625,0.47270232,0.4921445250511169,0.0194422006607055
bge_m3_1024d,zh_char,2650,瓵,台,瓦,ROOT-382F,12,忝,555,0,0,0,1171,忝,759,0,0,0,-204,0,0,759,0.47270232,0.5506786108016968,0.0779762864112854
bge_m3_1024d,zh_char,2651,眙,台,目,ROOT-382F,59,贛,396,0,0,0,1171,贛,314,0,0,0,82,0,0,314,0.38551274,0.354341447353363,-0.031171292066574
bge_m3_1024d,zh_char,2652,笞,台,竹,ROOT-382F,109,戕,608,0,0,0,1171,虐,462,0,0,0,146,0,0,462,0.44006023,0.4180954098701477,-0.021964818239212
bge_m3_1024d,zh_char,2653,紿,台,糸,ROOT-382F,170,忝,555,0,0,0,1171,忝,562,0,0,0,-7,0,0,562,0.47270232,0.5270634293556213,0.0543611049652099
bge_m3_1024d,zh_char,2654,胎,台,肉,ROOT-382F,108,軌,1024,0,0,0,1171,軌,1042,0,0,0,-18,0,0,1042,0.34322256,0.3342054486274719,-0.0090171098709106
bge_m3_1024d,zh_char,2655,苔,台,艹,ROOT-382F,292,闌,243,0,0,0,1171,闌,343,0,0,0,-100,0,0,343,0.43671957,0.4088602364063263,-0.0278593301773071
bge_m3_1024d,zh_char,2656,詒,台,言,ROOT-382F,155,雩,555,0,0,0,1171,忝,599,0,0,0,-44,0,0,599,0.47270232,0.510866105556488,0.0381637811660766
bge_m3_1024d,zh_char,2657,貽,台,貝,ROOT-382F,41,戕,1018,0,0,0,1171,聿,1074,0,0,0,-56,0,0,1074,0.3347612,0.2993192970752716,-0.035441905260086
bge_m3_1024d,zh_char,2658,邰,台,阝,ROOT-382F,125,雩,555,0,0,0,1171,雩,686,0,0,0,-131,0,0,686,0.47270232,0.555734395980835,0.0830320715904235
bge_m3_1024d,zh_char,2659,鈶,台,釒,ROOT-382F,141,雩,555,0,0,0,1171,忝,585,0,0,0,-30,0,0,585,0.47270232,0.5094369649887085,0.0367346405982971
bge_m3_1024d,zh_char,2660,颱,台,風,ROOT-382F,8,風,626,0,0,0,1171,旱,667,0,0,0,-41,0,0,667,0.4441521,0.446980357170105,0.0028282701969146
bge_m3_1024d,zh_char,2661,飴,台,飠,ROOT-382F,38,贔,954,0,0,0,1171,贔,887,0,0,0,67,0,0,887,0.3618255,0.321410596370697,-0.0404148995876312
bge_m3_1024d,zh_char,2662,駘,台,馬,ROOT-382F,65,忝,555,0,0,0,1171,忝,633,0,0,0,-78,0,0,633,0.47270232,0.535680890083313,0.0629785656929016
bge_m3_1024d,zh_char,2663,鮐,台,魚,ROOT-382F,58,忝,555,0,0,0,1171,忝,792,0,0,0,-237,0,0,792,0.47270232,0.5624181628227234,0.089715838432312
bge_m3_1024d,zh_char,2664,齝,台,齒,ROOT-382F,20,忝,555,0,0,0,1171,忝,802,0,0,0,-247,0,0,802,0.47270232,0.5896105766296387,0.1169082522392273
bge_m3_1024d,zh_char,2707,啻,帝,口,ROOT-5E1D,156,茍,971,0,0,0,1171,茍,820,0,0,0,151,0,0,820,0.35923612,0.348034918308258,-0.0112012028694152
bge_m3_1024d,zh_char,2709,啼,帝,口,ROOT-5E1D,156,芻,518,0,0,0,1171,雀,430,0,0,0,88,0,0,430,0.39284942,0.398790180683136,0.0059407651424407
bge_m3_1024d,zh_char,2710,禘,帝,礻,ROOT-5E1D,40,忝,573,0,0,0,1171,忝,720,0,0,0,-147,0,0,720,0.47067872,0.4983298182487488,0.0276511013507843
bge_m3_1024d,zh_char,2711,締,帝,糸,ROOT-5E1D,170,執,1077,0,0,0,1171,封,982,0,0,0,95,0,0,982,0.3482608,0.3142484724521637,-0.0340123176574707
bge_m3_1024d,zh_char,2712,蒂,帝,艹,ROOT-5E1D,292,狄,2,0,1,1,1171,狄,5,0,1,1,-3,0,0,5,0.57021517,0.5362153053283691,-0.0339998602867126
bge_m3_1024d,zh_char,2713,諦,帝,言,ROOT-5E1D,155,恆,483,0,0,0,1171,恆,359,0,0,0,124,0,0,359,0.46151176,0.4268074631690979,-0.0347042977809906
bge_m3_1024d,zh_char,2714,蹄,帝,𧾷,ROOT-5E1D,68,足,1035,0,0,0,1171,爪,943,0,0,0,92,0,0,943,0.3423211,0.3055535554885864,-0.0367675423622131
bge_m3_1024d,zh_char,3503,欄,闌,木,ROOT-67EC,256,朮,421,0,0,0,1171,煩,421,0,0,0,0,0,0,421,0.46736473,0.4251174926757812,-0.0422472357749938
bge_m3_1024d,zh_char,3504,瀾,闌,氵,ROOT-67EC,307,雋,42,0,0,0,1171,侖,80,0,0,0,-38,0,0,80,0.5183418,0.4761220812797546,-0.0422196984291076
bge_m3_1024d,zh_char,3505,爛,闌,火,ROOT-67EC,62,負,220,0,0,0,1171,負,371,0,0,0,-151,0,0,371,0.48185012,0.433896005153656,-0.047954112291336
bge_m3_1024d,zh_char,3506,籣,闌,竹,ROOT-67EC,109,忝,710,0,0,0,1171,忝,902,0,0,0,-192,0,0,902,0.45403072,0.4783596098423004,0.0243288874626159
bge_m3_1024d,zh_char,3507,蘭,闌,艹,ROOT-67EC,292,蘭,192,0,0,0,1171,蘭,357,0,0,0,-165,0,0,357,0.41871214,0.3742883801460266,-0.044423758983612
bge_m3_1024d,zh_char,3509,襴,闌,衤,ROOT-67EC,70,忝,710,0,0,0,1171,忝,934,0,0,0,-224,0,0,934,0.45403072,0.4987204670906067,0.0446897447109222
bge_m3_1024d,zh_char,3510,讕,闌,言,ROOT-67EC,155,雩,710,0,0,0,1171,忝,865,0,0,0,-155,0,0,865,0.45403072,0.4742323160171509,0.0202015936374664
bge_m3_1024d,zh_char,3975,倩,青,亻,ROOT-9752,183,女,636,0,0,0,1171,女,523,0,0,0,113,0,0,523,0.36074042,0.3421169519424438,-0.0186234712600708
bge_m3_1024d,zh_char,3976,凊,青,冫,ROOT-9752,12,瓠,662,0,0,0,1171,忝,904,0,0,0,-242,0,0,904,0.46021923,0.4351708889007568,-0.0250483453273773
bge_m3_1024d,zh_char,3977,婧,青,女,ROOT-9752,115,冉,52,0,0,0,1171,冉,59,0,0,0,-7,0,0,59,0.4454664,0.4422611892223358,-0.0032052099704742
bge_m3_1024d,zh_char,3978,崝,青,山,ROOT-9752,53,瓠,662,0,0,0,1171,瓠,838,0,0,0,-176,0,0,838,0.46021923,0.4675647020339966,0.0073454678058624
bge_m3_1024d,zh_char,3979,情,青,忄,ROOT-9752,132,心,66,0,0,0,1171,愛,109,0,0,0,-43,0,0,109,0.51749754,0.4788101613521576,-0.038687378168106
bge_m3_1024d,zh_char,3980,晴,青,日,ROOT-9752,63,雲,271,0,0,0,1171,星,170,0,0,0,101,0,0,170,0.46477342,0.4527359008789062,-0.0120375156402587
bge_m3_1024d,zh_char,3981,猜,青,犭,ROOT-9752,44,算,913,0,0,0,1171,算,819,0,0,0,94,0,0,819,0.38605827,0.3621634840965271,-0.0238947868347167
bge_m3_1024d,zh_char,3982,睛,青,目,ROOT-9752,59,見,175,0,0,0,1171,屯,14,0,0,0,161,0,0,14,0.5155281,0.5272228717803955,0.0116947889328002
bge_m3_1024d,zh_char,3983,精,青,米,ROOT-9752,27,父,1002,0,0,0,1171,父,955,0,0,0,47,0,0,955,0.3550353,0.3008207082748413,-0.054214596748352
bge_m3_1024d,zh_char,3984,綪,青,糸,ROOT-9752,170,雩,662,0,0,0,1171,雩,723,0,0,0,-61,0,0,723,0.46021923,0.5073691606521606,0.0471499264240264
bge_m3_1024d,zh_char,3985,菁,青,艹,ROOT-9752,292,婁,246,0,0,0,1171,婁,196,0,0,0,50,0,0,196,0.44455516,0.4138676524162292,-0.0306875109672546
bge_m3_1024d,zh_char,3986,蜻,青,虫,ROOT-9752,139,匍,128,0,0,0,1171,匍,204,0,0,0,-76,0,0,204,0.44766772,0.4128957688808441,-0.0347719490528106
bge_m3_1024d,zh_char,3987,請,青,言,ROOT-9752,155,求,847,0,0,0,1171,求,724,0,0,0,123,0,0,724,0.4374303,0.4076546430587768,-0.0297756493091583
bge_m3_1024d,zh_char,3988,錆,青,釒,ROOT-9752,141,彎,576,0,0,0,1171,肘,487,0,0,0,89,0,0,487,0.4155804,0.3933477401733398,-0.0222326517105102
bge_m3_1024d,zh_char,3989,靖,青,立,ROOT-9752,6,亭,1007,0,0,0,1171,推,1118,0,0,0,-111,0,0,1118,0.30235866,0.2375454604625702,-0.0648131966590881
bge_m3_1024d,zh_char,3990,靚,青,見,ROOT-9752,11,畀,976,0,0,0,1171,畀,786,0,0,0,190,0,0,786,0.38641512,0.3764224052429199,-0.0099927186965942
bge_m3_1024d,zh_char,3992,鯖,青,魚,ROOT-9752,58,魚,974,0,0,0,1171,箸,968,0,0,0,6,0,0,968,0.34411708,0.2616772949695587,-0.0824397802352905
bge_m3_1024d,zh_char,4753,涂,余,氵,ROOT-4F59,307,涂,1077,0,0,0,1171,涂,1070,0,0,0,7,0,0,1070,0.3309292,0.3213648796081543,-0.0095643103122711
bge_m3_1024d,zh_char,4755,徐,余,彳,ROOT-4F59,18,許,118,0,0,0,1171,肖,74,0,0,0,44,0,0,74,0.3972813,0.3654156923294067,-0.0318655967712402
bge_m3_1024d,zh_char,4756,悆,余,心,ROOT-4F59,59,忝,968,0,0,0,1171,忝,979,0,0,0,-11,0,0,979,0.40957966,0.4497140645980835,0.0401344001293182
bge_m3_1024d,zh_char,4758,斜,余,斗,ROOT-4F59,6,彎,1148,0,0,0,1171,彎,1148,0,0,0,0,0,0,1148,0.28301144,0.2595939338207245,-0.0234175026416778
bge_m3_1024d,zh_char,4760,畬,余,田,ROOT-4F59,12,忝,968,0,0,0,1171,忝,907,0,0,0,61,0,0,907,0.40957966,0.4488160610198974,0.0392363965511322
bge_m3_1024d,zh_char,4761,稌,余,禾,ROOT-4F59,46,雩,968,0,0,0,1171,雩,994,0,0,0,-26,0,0,994,0.40957966,0.463607519865036,0.0540278553962707
bge_m3_1024d,zh_char,4762,筡,余,竹,ROOT-4F59,109,雩,968,0,0,0,1171,忝,932,0,0,0,36,0,0,932,0.40957966,0.4715017080307007,0.0619220435619354
bge_m3_1024d,zh_char,4763,艅,余,舟,ROOT-4F59,15,雩,968,0,0,0,1171,忝,765,0,0,0,203,0,0,765,0.40957966,0.4762287139892578,0.0666490495204925
bge_m3_1024d,zh_char,4764,荼,余,艹,ROOT-4F59,292,沙,1103,0,0,0,1171,沙,962,0,0,0,141,0,0,962,0.29695296,0.2792714238166809,-0.0176815390586853
bge_m3_1024d,zh_char,4765,蜍,余,虫,ROOT-4F59,139,棘,1082,0,0,0,1171,棘,946,0,0,0,136,0,0,946,0.30365378,0.2982357442378998,-0.0054180324077606
bge_m3_1024d,zh_char,4766,途,余,辶,ROOT-4F59,69,脈,1068,0,0,0,1171,脈,902,0,0,0,166,0,0,902,0.28329527,0.3109907507896423,0.0276954770088195
bge_m3_1024d,zh_char,4767,酴,余,酉,ROOT-4F59,34,忝,968,0,0,0,1171,忝,861,0,0,0,107,0,0,861,0.40957966,0.47451251745224,0.0649328529834747
bge_m3_1024d,zh_char,4768,除,余,阝,ROOT-4F59,125,除,1151,0,0,0,1171,除,1022,0,0,0,129,0,0,1022,0.29884297,0.2542015314102173,-0.0446414351463317
bge_m3_1024d,zh_char,4772,餘,余,飠,ROOT-4F59,38,余,1,1,1,1,1171,余,1,1,1,1,0,0,0,1,0.76368785,0.7348094582557678,-0.0288783907890319
bge_m3_1024d,zh_char,4773,駼,余,馬,ROOT-4F59,65,雩,968,0,0,0,1171,忝,949,0,0,0,19,0,0,949,0.40957966,0.4852483868598938,0.0756687223911285
bge_m3_1024d,zh_char,5032,裖,辰,衤,ROOT-8FB0,70,忝,723,0,0,0,1171,忝,824,0,0,0,-101,0,0,824,0.45149076,0.5188003182411194,0.067309558391571
bge_m3_1024d,zh_char,5096,侲,辰,亻,ROOT-8FB0,183,忝,723,0,0,0,1171,忝,780,0,0,0,-57,0,0,780,0.45149076,0.4830319285392761,0.0315411686897277
bge_m3_1024d,zh_char,5097,唇,辰,口,ROOT-8FB0,156,脣,971,0,0,0,1171,脣,1006,0,0,0,-35,0,0,1006,0.37004498,0.3605726361274719,-0.0094723403453826
bge_m3_1024d,zh_char,5098,娠,辰,女,ROOT-8FB0,115,厥,378,0,0,0,1171,厥,284,0,0,0,94,0,0,284,0.47387946,0.476040631532669,0.0021611750125885
bge_m3_1024d,zh_char,5099,宸,辰,宀,ROOT-8FB0,27,朕,2,0,1,1,1171,辰,1,1,1,1,1,1,0,1,0.5364191,0.5300958156585693,-0.0063232779502868
bge_m3_1024d,zh_char,5100,振,辰,扌,ROOT-8FB0,202,鼓,461,0,0,0,1171,鼓,179,0,0,0,282,0,0,179,0.44614497,0.4501867890357971,0.0040418207645416
bge_m3_1024d,zh_char,5101,晨,辰,日,ROOT-8FB0,63,晨,5,0,1,1,1171,晨,9,0,0,1,-4,0,0,9,0.5264459,0.4987644851207733,-0.0276814401149749
bge_m3_1024d,zh_char,5103,祳,辰,礻,ROOT-8FB0,40,雩,723,0,0,0,1171,忝,742,0,0,0,-19,0,0,742,0.45149076,0.4943340420722961,0.0428432822227478
bge_m3_1024d,zh_char,5104,脣,辰,肉,ROOT-8FB0,108,脣,1001,0,0,0,1171,脣,852,0,0,0,149,0,0,852,0.36396378,0.3743769526481628,0.0104131698608398
bge_m3_1024d,zh_char,5106,蜃,辰,虫,ROOT-8FB0,139,仄,505,0,0,0,1171,仄,365,0,0,0,140,0,0,365,0.40244466,0.3850257694721222,-0.0174188911914825
bge_m3_1024d,zh_char,5107,賑,辰,貝,ROOT-8FB0,41,雜,954,0,0,0,1171,雜,957,0,0,0,-3,0,0,957,0.36616302,0.3487816452980041,-0.0173813700675964
bge_m3_1024d,zh_char,5108,震,辰,雨,ROOT-8FB0,25,動,676,0,0,0,1171,動,687,0,0,0,-11,0,0,687,0.39036596,0.3581317663192749,-0.0322341918945312
bge_m3_1024d,zh_char,5109,麎,辰,鹿,ROOT-8FB0,10,忝,723,0,0,0,1171,忝,822,0,0,0,-99,0,0,822,0.45149076,0.5365673303604126,0.0850765705108642
bge_m3_1024d,zh_char,5479,掂,店,扌,ROOT-5360,202,舀,493,0,0,0,1171,斤,490,0,0,0,3,0,0,490,0.4418254,0.4458609819412231,0.0040355920791625
bge_m3_1024d,zh_char,5480,惦,店,忄,ROOT-5360,132,念,217,0,0,0,1171,念,115,0,0,0,102,0,0,115,0.46769613,0.4685573577880859,0.0008612275123596
gte_multilingual_base_768d,cn_def,31,儐,賓,亻,ROOT-219CD,126,賓,1,1,1,1,1053,賓,1,1,1,1,0,0,0,1,0.8437763,0.8413190841674805,-0.0024572014808654
gte_multilingual_base_768d,cn_def,32,嬪,賓,女,ROOT-219CD,68,王,169,0,0,0,1053,王,232,0,0,0,-63,0,0,232,0.52799964,0.5440866947174072,0.0160870552062988
gte_multilingual_base_768d,cn_def,33,擯,賓,扌,ROOT-219CD,138,卻,221,0,0,0,1053,忌,111,0,0,0,110,0,0,111,0.6337886,0.641412079334259,0.0076234936714172
gte_multilingual_base_768d,cn_def,34,檳,賓,木,ROOT-219CD,139,葛,242,0,0,0,1053,蘭,139,0,0,0,103,0,0,139,0.5358173,0.5702983140945435,0.0344809889793396
gte_multilingual_base_768d,cn_def,35,殯,賓,歹,ROOT-219CD,10,弔,220,0,0,0,1053,奉,80,0,0,0,140,0,0,80,0.53043836,0.5442147850990295,0.013776421546936
gte_multilingual_base_768d,cn_def,36,濱,賓,氵,ROOT-219CD,185,浦,314,0,0,0,1053,浦,133,0,0,0,181,0,0,133,0.6378201,0.7001544237136841,0.0623342990875244
gte_multilingual_base_768d,cn_def,37,繽,賓,糸,ROOT-219CD,97,夭,512,0,0,0,1053,夭,379,0,0,0,133,0,0,379,0.632994,0.6428368091583252,0.0098428130149841
gte_multilingual_base_768d,cn_def,38,鬢,賓,髟,ROOT-219CD,10,眉,130,0,0,0,1053,眉,92,0,0,0,38,0,0,92,0.6723788,0.718230128288269,0.0458513498306274
gte_multilingual_base_768d,cn_def,252,刻,亥,刂,ROOT-4EA5,19,舂,793,0,0,0,1053,遂,587,0,0,0,206,0,0,587,0.5239856,0.5553146600723267,0.0313290357589721
gte_multilingual_base_768d,cn_def,253,劾,亥,力,ROOT-4EA5,15,姦,1038,0,0,0,1053,姦,1017,0,0,0,21,0,0,1017,0.44015154,0.4555404186248779,0.0153888761997222
gte_multilingual_base_768d,cn_def,254,咳,亥,口,ROOT-4EA5,113,息,997,0,0,0,1053,息,951,0,0,0,46,0,0,951,0.42705747,0.4842638075351715,0.0572063326835632
gte_multilingual_base_768d,cn_def,255,垓,亥,土,ROOT-4EA5,65,野,257,0,0,0,1053,冥,450,0,0,0,-193,0,0,450,0.551161,0.5452735424041748,-0.0058874487876892
gte_multilingual_base_768d,cn_def,256,孩,亥,子,ROOT-4EA5,5,嬰,974,0,0,0,1053,包,1008,0,0,0,-34,0,0,1008,0.51800025,0.5003581047058105,-0.0176421403884887
gte_multilingual_base_768d,cn_def,257,核,亥,木,ROOT-4EA5,139,米,856,0,0,0,1053,固,871,0,0,0,-15,0,0,871,0.51132035,0.5401100516319275,0.0287896990776062
gte_multilingual_base_768d,cn_def,258,欬,亥,欠,ROOT-4EA5,13,至,949,0,0,0,1053,虞,986,0,0,0,-37,0,0,986,0.4860933,0.4990751445293426,0.0129818320274353
gte_multilingual_base_768d,cn_def,259,該,亥,言,ROOT-4EA5,95,宜,986,0,0,0,1053,宜,907,0,0,0,79,0,0,907,0.52724373,0.5659894943237305,0.0387457609176635
gte_multilingual_base_768d,cn_def,260,閡,亥,門,ROOT-4EA5,19,絕,969,0,0,0,1053,絕,873,0,0,0,96,0,0,873,0.5199597,0.5505720376968384,0.0306123495101928
gte_multilingual_base_768d,cn_def,261,頦,亥,頁,ROOT-4EA5,27,脣,288,0,0,0,1053,脣,245,0,0,0,43,0,0,245,0.5729163,0.584987461566925,0.0120711326599121
gte_multilingual_base_768d,cn_def,262,駭,亥,馬,ROOT-4EA5,34,畏,999,0,0,0,1053,畏,997,0,0,0,2,0,0,997,0.4951562,0.4970598220825195,0.001903623342514
gte_multilingual_base_768d,cn_def,263,骸,亥,骨,ROOT-4EA5,5,節,696,0,0,0,1053,廣,545,0,0,0,151,0,0,545,0.5985422,0.6639578342437744,0.065415620803833
gte_multilingual_base_768d,cn_def,398,完,元,宀,ROOT-5143,19,完,195,0,0,0,1053,完,91,0,0,0,104,0,0,91,0.6742352,0.6669694185256958,-0.0072658061981201
gte_multilingual_base_768d,cn_def,404,沅,元,氵,ROOT-5143,185,沮,353,0,0,0,1053,贛,261,0,0,0,92,0,0,261,0.4817937,0.532223105430603,0.0504294037818908
gte_multilingual_base_768d,cn_def,405,玩,元,王,ROOT-5143,44,敖,399,0,0,0,1053,敖,334,0,0,0,65,0,0,334,0.6043902,0.5805903673171997,-0.0237998366355896
gte_multilingual_base_768d,cn_def,407,阮,元,阝,ROOT-5143,47,潘,298,0,0,0,1053,潘,288,0,0,0,10,0,0,288,0.540358,0.549924373626709,0.0095663666725158
